text,category
Blue Dart courier charges for warehouse delivery,Logistics
DHL shipment fees for international cargo,Logistics
FedEx freight charges for bulk order dispatch,Logistics
Delhivery last-mile delivery charges,Logistics
Warehouse storage rent for Q2,Logistics
Freight forwarding charges from Mumbai port,Logistics
Trucking charges for raw material transport,Logistics
XpressBees delivery partner charges,Logistics
Customs clearance charges for imported goods,Logistics
Packaging and dispatch charges for e-commerce orders,Logistics
Amazon freight relay charges,Logistics
Return logistics handling fee,Logistics
A4 paper reams purchase for office,Office Supplies
Staplers and staple pins bulk order,Office Supplies
Printer ink cartridges refill,Office Supplies
Whiteboard markers and erasers,Office Supplies
Office chair purchase for new employee,Office Supplies
Desk organizers and file folders,Office Supplies
Ballpoint pens and notebooks bulk order,Office Supplies
Sticky notes and highlighters pack,Office Supplies
Toner cartridge replacement for HP printer,Office Supplies
Paper shredder purchase,Office Supplies
Lamination pouches and binding supplies,Office Supplies
Scissor tape and glue stationery items,Office Supplies
AWS monthly cloud hosting bill,Cloud/Software
Google Workspace license renewal,Cloud/Software
Microsoft 365 subscription for 50 users,Cloud/Software
Zoom video conferencing annual plan,Cloud/Software
Slack Pro plan monthly invoice,Cloud/Software
GitHub Enterprise license fee,Cloud/Software
Jira Software subscription renewal,Cloud/Software
Figma team plan monthly billing,Cloud/Software
Salesforce CRM monthly subscription,Cloud/Software
Adobe Creative Cloud team license,Cloud/Software
MongoDB Atlas cloud database charges,Cloud/Software
Heroku dyno charges for app hosting,Cloud/Software
Datadog monitoring subscription,Cloud/Software
SendGrid email API monthly charges,Cloud/Software
Twilio SMS API usage charges,Cloud/Software
Electricity bill for office premises April,Utilities
Water charges for factory building,Utilities
Internet broadband bill Airtel leased line,Utilities
Mobile phone bills for staff,Utilities
Gas connection charges for canteen,Utilities
UPS maintenance charges for server room,Utilities
Generator fuel charges for factory,Utilities
Municipal water tax payment,Utilities
BSNL landline and broadband charges,Utilities
Office internet and WiFi charges,Utilities
Electricity meter maintenance fee,Utilities
Solar panel maintenance contract,Utilities
Flight tickets Mumbai to Delhi team offsite,Travel
Hotel accommodation for sales conference,Travel
Uber/Ola cab reimbursements for client visits,Travel
Train tickets for regional team travel,Travel
Meal allowance for outstation employees,Travel
IRCTC booking charges for business travel,Travel
Airport lounge access charges,Travel
Car rental for executive travel,Travel
Visa processing fee for international travel,Travel
Travel insurance premium for overseas trip,Travel
Boarding and lodging client meeting Bangalore,Travel
Per diem allowance for field staff,Travel
Raw material purchase steel sheets,Inventory
Electronic components bulk procurement,Inventory
CPU processors and RAM modules purchase,Inventory
Cotton fabric rolls for garment manufacturing,Inventory
Packaging boxes and bubble wrap purchase,Inventory
